lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
2.0,4.46,0.6661769027328828,1.5629299867163675,0.2636865074932575,0.0218100133817642,0.1419,,,3800.0,123
2.0,4.69,0.6632383191301793,1.6442069431770698,0.2669122703932226,0.0226879861298948,0.1453,,,4000.0,123
2.0,4.93,0.6711724948574787,1.6064413861600644,0.2871071302331984,0.0248410590924322,0.1475,,,4200.0,123
2.0,5.16,0.6635321774904496,1.6434233786251975,0.1934787323721684,0.0161316731665283,0.1429,,,4400.0,123
2.0,5.4,0.6658830443726124,1.6574632508454168,0.1517826253222301,0.0126986814197152,0.1433,,,4600.0,123
2.0,final,0.6741110784601821,,,,,0.6620628856890979,1.6055125498680587,3400.0,123
1.0,0.23,0.628563032618278,1.5721416665006307,1.8900667771697044,0.147134605795145,0.0722,,,200.0,123
1.0,0.47,0.6473699676755804,1.4858649021872274,1.6288050958514213,0.1311968810297548,0.0745,,,400.0,123
1.0,0.7,0.6626506024096386,1.421404167409858,1.5494376814365387,0.1245465494133532,0.0744,,,600.0,123
1.0,0.94,0.6670584778136938,1.38335213789406,1.521962030827999,0.1256765894964337,0.0763,,,800.0,123
1.0,1.17,0.6679400528945049,1.4230286500540124,1.1204131005704403,0.0951870808564126,0.0783,,,1000.0,123
1.0,1.41,0.6688216279753159,1.418474906968468,1.0138493257761,0.0853078593127429,0.0776,,,1200.0,123
1.0,1.64,0.6711724948574787,1.4022227654273531,1.012230894267559,0.085450571347028,0.0778,,,1400.0,123
1.0,1.88,0.6732295033793712,1.3811753970925822,1.0173054721951484,0.0866560036875307,0.0785,,,1600.0,123
1.0,2.11,0.6729356450191007,1.4615296898188046,0.8209540712833404,0.070360960913822,0.0789,,,1800.0,123
1.0,2.35,0.6682339112547752,1.47983302118636,0.6301091679185629,0.0533880821149796,0.0781,,,2000.0,123
1.0,2.58,0.6708786364972084,1.4678972102143364,0.6348212552815675,0.0547890270408242,0.0794,,,2200.0,123
1.0,2.82,0.6788128122245077,1.4569906648593267,0.653641941100359,0.0558883720450103,0.0788,,,2400.0,123
1.0,3.05,0.6735233617396414,1.5035799726506665,0.6263105555458606,0.0537026362400502,0.079,,,2600.0,123
1.0,3.29,0.6758742286218042,1.5265724137534893,0.393633819706738,0.0344851717352867,0.0806,,,2800.0,123
1.0,3.52,0.6732295033793712,1.5092249985410997,0.4213705711066723,0.0370987828448414,0.0809,,,3000.0,123
1.0,3.76,0.669703203056127,1.5502643913442236,0.414336366020143,0.0356569528393447,0.0792,,,3200.0,123
1.0,3.99,0.6714663532177491,1.550228128249667,0.4148591544851661,0.0361583943758159,0.0802,,,3400.0,123
